timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596706069476,17,goto_Main,200,,sendComment 1-1,text,true,,22653,116,1,1,http://localhost:8080/,17,0,5
1596706069495,29,goto_clients,200,,sendComment 1-1,text,true,,6135,128,1,1,http://localhost:8080/clients.html,28,0,0
1596706069540,7,goto_guestbook,200,,sendComment 1-1,text,true,,4112,130,1,1,http://localhost:8080/guestbook.html,7,0,0
1596706069548,10,POST Request to Base,200,,sendComment 1-1,text,true,,274,279,1,1,http://localhost:8080/service/guestbook,10,0,0
1596706069560,55,Request_lastAddField,200,OK,sendComment 1-1,text,true,,36,0,1,1,null,54,0,50
1596706069616,1,Debug Sampler,200,OK,sendComment 1-1,text,true,,2656,0,1,1,null,0,0,0
