timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596715272796,9,goto_Main,200,,3_HW_clearGuestbookHistory 1-1,text,true,,22653,116,1,1,http://localhost:8080/,8,0,3
1596715272806,6,goto_guestbook,200,,3_HW_clearGuestbookHistory 1-1,text,true,,4112,130,1,1,http://localhost:8080/guestbook.html,6,0,0
1596715272812,35,Request_To_Base_Count,200,OK,3_HW_clearGuestbookHistory 1-1,text,true,,15,0,1,1,null,35,0,34
1596715272870,2,Request_to_Base_TRUNCATE,200,OK,3_HW_clearGuestbookHistory 1-1,text,true,,9,0,1,1,null,2,0,0
1596715272872,0,Debug Sampler,200,OK,3_HW_clearGuestbookHistory 1-1,text,true,,568,0,1,1,null,0,0,0
